market,date_kst,open,high,low,close,volume,value,date_id
KRW-BTC,2021-01-01,32037000.0,32599000.0,31800000.0,32296000.0,5752.49421559,185613910085.62503,0
KRW-BTC,2021-01-02,32295000.0,36600000.0,31920000.0,35700000.0,17451.16767774,602335536311.2162,1
KRW-BTC,2021-01-03,35700000.0,39453000.0,35500000.0,37537000.0,25381.50662267,958875074120.6221,2
KRW-BTC,2021-01-04,37537000.0,38476000.0,33000000.0,36460000.0,23598.19458956,847277026758.2367,3
KRW-BTC,2021-01-05,36478000.0,38590000.0,34357000.0,38093000.0,13461.98168136,491554005818.2553,4
KRW-BTC,2021-01-06,38107000.0,41000000.0,37380000.0,40762000.0,15168.98069733,591564311252.9448,5
KRW-BTC,2021-01-07,40764000.0,44990000.0,40250000.0,44698000.0,17201.05518572,733603313977.1866,6
KRW-BTC,2021-01-08,44698000.0,48550000.0,42271000.0,47215000.0,21891.12558504,1006426839026.3547,7
KRW-BTC,2021-01-09,47201000.0,47650000.0,45171000.0,45718000.0,13453.12656524,625675347724.774,8
KRW-BTC,2021-01-10,45716000.0,47000000.0,39500000.0,43404000.0,23031.00699245,1017005173324.4323,9
KRW-BTC,2021-01-11,43400000.0,43570000.0,35010000.0,40094000.0,50543.88221565,1951978237852.5813,10
KRW-BTC,2021-01-12,40094000.0,40888000.0,36654000.0,38577000.0,22472.57575829,877051814766.2422,11
KRW-BTC,2021-01-13,38496000.0,41900000.0,37001000.0,41380000.0,15632.80207437,609115848779.7548,12
KRW-BTC,2021-01-14,41380000.0,43998000.0,40510000.0,42735000.0,15952.88892706,675452929053.0894,13
KRW-BTC,2021-01-15,42787000.0,43199000.0,38690000.0,40952000.0,16278.02915655,665644973950.4895,14
KRW-BTC,2021-01-16,40951000.0,41800000.0,39689000.0,40086000.0,10393.3501519,423473040868.5699,15
KRW-BTC,2021-01-17,40070000.0,40722000.0,38102000.0,39536000.0,9785.46995151,385287094530.9616,16
KRW-BTC,2021-01-18,39536000.0,40999000.0,38699000.0,40008000.0,8374.53524546,334192601195.97144,17
KRW-BTC,2021-01-19,40008000.0,41251000.0,39580000.0,39586000.0,9913.18947901,399356017928.5196,18
KRW-BTC,2021-01-20,39580000.0,39998000.0,37579000.0,39253000.0,10290.52813623,399570977196.11475,19
KRW-BTC,2021-01-21,39253000.0,39329000.0,33867000.0,34519000.0,18816.54602062,684409148890.5065,20
KRW-BTC,2021-01-22,34525000.0,37342000.0,31662000.0,36345000.0,21883.00423781,755562232830.8065,21
KRW-BTC,2021-01-23,36345000.0,37018000.0,34678000.0,35493000.0,8710.02859837,312190277118.3817,22
KRW-BTC,2021-01-24,35494000.0,36283000.0,34250000.0,35539000.0,7625.87646731,270814389370.82205,23
KRW-BTC,2021-01-25,35539000.0,38388000.0,35394000.0,36054000.0,14596.35519525,539926824512.526,24
KRW-BTC,2021-01-26,36054000.0,36594000.0,34808000.0,35923000.0,8489.58317688,302640635687.53064,25
KRW-BTC,2021-01-27,35929000.0,36026000.0,33235000.0,34300000.0,9356.77161322,323528868123.36993,26
KRW-BTC,2021-01-28,34293000.0,37186000.0,33726000.0,36624000.0,9452.48550052,334665939752.40533,27
KRW-BTC,2021-01-29,36631000.0,41072000.0,35514000.0,37523000.0,33565.7380079,1297496987642.681,28
KRW-BTC,2021-01-30,37523000.0,38201000.0,36230000.0,37087000.0,12481.60663701,465140379089.1798,29
